id,slug,name,tried_terms
56,"jogging","Jogging","jogging"
67,"fire-hydrant","Fire Hydrant","fire hydrant;hydrant"
69,"clamshell","Clamshell","clamshell"
71,"farmers-carry","Farmer's Carry","farmers carry;farmer's carry;carry"
83,"kettlebell-halo","Kettlebell Halo","kettlebell halo;halo"
85,"kettlebell-snatch","Kettlebell Snatch","kettlebell snatch;snatch"
86,"kettlebell-farmers-carry","Kettlebell Farmer's Carry","kettlebell farmers carry;kettlebell farmer's carry;farmers carry;carry"
96,"wall-angels","Wall Angels","wall angels;angels"
120,"band-kickback","Band Kickback","band kickback;kickback;band kickettlebellack"
121,"band-clamshell","Band Clamshell","band clamshell;clamshell"
123,"band-tricep-pushdown","Band Tricep Pushdown","band tricep pushdown;tricep pushdown;pushdown"
126,"band-woodchop","Band Woodchop","band woodchop;woodchop"
133,"battle-ropes","Battle Ropes","battle ropes;ropes"
134,"box-jumps","Box Jumps","box jumps;jumps"
135,"sprints","Sprint Intervals","sprints;sprint intervals"
137,"shadowboxing","Shadowboxing","shadowboxing"
