id,slug,name,pattern,goal,difficulty,equipment,binder_aware,pelvic_floor_safe,heavy_binding_safe,contraindications,target_muscles,secondary_muscles,gender_goal_emphasis,dysphoria_tags,post_op_safe_weeks,cue_primary,breathing,rep_range_beginner,rep_range_intermediate,rep_range_advanced,effectiveness_rating,source,notes,created_at,updated_at,version,flags_reviewed,reviewer,video_url,thumbnail_url,media_thumb
1,bodyweight-squat,Bodyweight Squat,squat,strength,beginner,"[""bodyweight""]",true,true,true,[],"quads, glutes","hamstrings, core",fem_high,,,"Feet shoulder-width, sit back like sitting in a chair","Inhale down, exhale up",10-15,15-20,20-30,9,ACSM strength training guidelines,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.044598+00,1,true,Clinical Team + ACSM/NASM Standards,,,
2,sumo-squat,Sumo Squat,squat,strength,beginner,"[""bodyweight""]",true,true,true,[],"glutes, inner thighs","quads, hamstrings",fem_very_high,,,"Wide stance, toes turned out, emphasize glute squeeze at top","Inhale down, exhale up",10-15,15-20,20-25,10,NASM feminization protocols,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.044598+00,1,true,Clinical Team + ACSM/NASM Standards,,,
3,glute-bridge,Glute Bridge,hinge,strength,beginner,"[""bodyweight""]",true,true,true,[],glutes,"hamstrings, core",fem_very_high,,,"Squeeze glutes at top, hold 2 seconds",Exhale as you lift hips,12-15,15-20,20-30,10,Evidence-based glute activation research,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.044598+00,1,true,Clinical Team + ACSM/NASM Standards,,,
4,single-leg-glute-bridge,Single-Leg Glute Bridge,hinge,strength,intermediate,"[""bodyweight""]",true,true,false,[],glutes,"hamstrings, core",fem_very_high,,,"Keep hips level, extend one leg",Exhale as you lift,8-10 each leg,10-15 each leg,15-20 each leg,9,NASM progression models,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.044598+00,1,true,Clinical Team + ACSM/NASM Standards,,,
5,walking-lunge,Walking Lunge,lunge,strength,intermediate,"[""bodyweight""]",true,true,true,"[""early_post_op_bottom""]","quads, glutes","hamstrings, calves",fem_high,,,"Step forward, lower back knee toward ground","Inhale down, exhale up",8-10 each leg,12-15 each leg,15-20 each leg,9,ACSM functional training,,2025-11-23 19:54:34+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/IZVHb27.gif
6,reverse-lunge,Reverse Lunge,lunge,strength,beginner,"[""bodyweight""]",true,true,true,[],"quads, glutes",hamstrings,fem_high,,,"Step back, lower knee toward ground","Inhale down, exhale up",8-10 each leg,12-15 each leg,15-20 each leg,8,ACSM strength guidelines,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.044598+00,1,true,Clinical Team + ACSM/NASM Standards,,,
7,bulgarian-split-squat,Bulgarian Split Squat,lunge,strength,advanced,"[""bodyweight"", ""bench""]",true,true,false,[],"quads, glutes","hamstrings, core",fem_high,,,"Back foot elevated, lower into deep lunge","Inhale down, exhale up",6-8 each leg,8-12 each leg,12-15 each leg,10,NASM advanced progressions,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.044598+00,1,true,Clinical Team + ACSM/NASM Standards,,,
8,calf-raise,Calf Raise,isolation,strength,beginner,"[""bodyweight""]",true,true,true,[],calves,,fem_medium,,,"Rise up on toes, squeeze at top",Exhale as you rise,15-20,20-25,25-30,7,ACSM isolation exercises,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.044598+00,1,true,Clinical Team + ACSM/NASM Standards,,,
9,single-leg-calf-raise,Single-Leg Calf Raise,isolation,strength,intermediate,"[""bodyweight""]",true,true,true,[],calves,ankle stabilizers,fem_medium,,,"Balance on one foot, rise up",Exhale as you rise,10-12 each leg,15-20 each leg,20-25 each leg,8,NASM balance progressions,,2025-11-23 19:54:34+00,2025-11-23 21:39:29.044598+00,1,true,Clinical Team + ACSM/NASM Standards,,,
10,push-up,Push-Up,push,strength,intermediate,"[""bodyweight""]",false,true,false,"[""heavy_binding"",""tight_binder""]",pectorals,"triceps, shoulders, core",masc_high,,,"Hands shoulder-width, lower chest to ground","Inhale down, exhale up",5-10,10-15,15-25,9,ACSM upper body strength,,2025-11-23 19:54:34+00,2025-12-04 07:51:00.118879+00,1,true,Clinical Team + ACSM/NASM Standards,,,https://static.exercisedb.dev/media/I4hDWkc.gif
