slug,name,equipment,media_thumb,media_video,source_url,external_id
bridge-mountain-climber,Bridge - Mountain Climber,"[""bodyweight""]",,,,
side-lunge,Side Lunge,"[""bodyweight""]",,,,
sliding-floor-pulldown-on-towel,Sliding Floor Pulldown On Towel,"[""bodyweight""]",,,,
triceps-dip,Triceps Dip,"[""bodyweight""]",,,,
dumbbell-incline-one-arm-hammer-press,Dumbbell Incline One Arm Hammer Press,"[""bodyweight""]",,,,
feet-and-ankles-stretch,Feet And Ankles Stretch,"[""bodyweight""]",,,,
jump-squat,Jump Squat,"[""bodyweight""]",,,,
dumbbell-single-leg-calf-raise,Dumbbell Single Leg Calf Raise,"[""bodyweight""]",,,,
peroneals-stretch,Peroneals Stretch,"[""bodyweight""]",,,,
lying-double-legs-biceps-curl-with-towel,Lying Double Legs Biceps Curl With Towel,"[""bodyweight""]",,,,
seated-row-with-towel,Seated Row With Towel,"[""bodyweight""]",,,,
calf-raise-from-deficit-with-chair-supported,Calf Raise From Deficit With Chair Supported,"[""bodyweight""]",,,,
dumbbell-stiff-leg-deadlift,Dumbbell Stiff Leg Deadlift,"[""bodyweight""]",,,,
chin-ups,Chin-Ups,"[""bodyweight""]",,,,
single-leg-squat,Single Leg Squat,"[""bodyweight""]",,,,
diamond-press,Diamond Press,"[""bodyweight""]",,,,
dumbbell-lying-floor-skull-crusher,Dumbbell Lying Floor Skull Crusher,"[""bodyweight""]",,,,
suspended-row,Suspended Row,"[""bodyweight""]",,,,
right-cross-boxing,Right Cross. Boxing,"[""bodyweight""]",,,,
self-assisted-inverted-pullover,Self Assisted Inverted Pullover,"[""bodyweight""]",,,,
standing-calf-raise,Standing Calf Raise,"[""bodyweight""]",,,,
ankle-plantar-flexion-articulations,Ankle - Plantar Flexion - Articulations,"[""bodyweight""]",,,,
elbow-flexion-articulations,Elbow - Flexion - Articulations,"[""bodyweight""]",,,,
alternate-punching,Alternate Punching,"[""bodyweight""]",,,,
elliptical-machine-walk,Elliptical Machine Walk,"[""bodyweight""]",,,,
lying-lower-back-stretch,Lying Lower Back Stretch,"[""bodyweight""]",,,,
wide-grip-pull-up,Wide Grip Pull-Up,"[""bodyweight""]",,,,
hyperextension,Hyperextension,"[""bodyweight""]",,,,
calves-stretch,Calves Stretch,"[""bodyweight""]",,,,
cross-body-hammer-curl,Cross Body Hammer Curl,"[""bodyweight""]",,,,
reverse-lunge,Reverse Lunge,"[""bodyweight""]",,,,
jumping-pistol-squat,Jumping Pistol Squat,"[""bodyweight""]",,,,
extension-and-inclination-neck-stretch,Extension And Inclination Neck Stretch,"[""bodyweight""]",,,,
cobra-push-up,Cobra Push-Up,"[""bodyweight""]",,,,
forward-flexion-neck-stretch,Forward Flexion Neck Stretch,"[""bodyweight""]",,,,
run-on-treadmill,Run On Treadmill,"[""bodyweight""]",,,,
walking-on-incline-treadmill,Walking On Incline Treadmill,"[""bodyweight""]",,,,
lever-stepper,Lever Stepper,"[""bodyweight""]",,,,
clap-push-up,Clap Push Up,"[""bodyweight""]",,,,
front-plank-with-leg-lift,Front Plank With Leg Lift,"[""bodyweight""]",,,,
feet-and-ankles-rotation-stretch,Feet And Ankles Rotation Stretch,"[""bodyweight""]",,,,
walk-elliptical-cross-trainer,Walk Elliptical Cross Trainer,"[""bodyweight""]",,,,
walking-high-knees-lunge,Walking High Knees Lunge,"[""bodyweight""]",,,,
assault-bike-run,Assault Bike Run,"[""bodyweight""]",,,,
arnold-press,Arnold Press,"[""bodyweight""]",,,,
jump-rope,Jump Rope,"[""bodyweight""]",,,,
