slug,name,equipment,body_parts,exercise_type,target_muscles,media_thumb,media_video,source_url,external_id
bridge-mountain-climber,Bridge - Mountain Climber,"[""bodyweight""]",WAIST,STRENGTH,,https://cdn.exercisedb.dev/w/images/I88s2KW/41n2ha5iPFpN3hEJ__Bridge---Mountain-Climber-(Cross-Body)-(female)_Waist.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2ha5iPFpN3hEJ,exr_41n2ha5iPFpN3hEJ
side-lunge,Side Lunge,"[""bodyweight""]","QUADRICEPS, THIGHS",STRENGTH,,https://cdn.exercisedb.dev/w/images/LPzfTTJ/41n2haAabPyN5t8y__Side-Lunge_Thighs.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2haAabPyN5t8y,exr_41n2haAabPyN5t8y
sliding-floor-pulldown-on-towel,Sliding Floor Pulldown On Towel,"[""bodyweight""]",BACK,STRENGTH,,https://cdn.exercisedb.dev/w/images/u0VBiFl/41n2hadPLLFRGvFk__Sliding-Floor-Pulldown-on-Towel_Back.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hadPLLFRGvFk,exr_41n2hadPLLFRGvFk
triceps-dip,Triceps Dip,"[""bodyweight""]","TRICEPS, UPPER ARMS",STRENGTH,,https://cdn.exercisedb.dev/w/images/1e6EUNM/41n2hadQgEEX8wDN__Triceps-Dip_Upper-Arms.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hadQgEEX8wDN,exr_41n2hadQgEEX8wDN
dumbbell-incline-one-arm-hammer-press,Dumbbell Incline One Arm Hammer Press,"[""db""]",UPPER ARMS,STRENGTH,,https://cdn.exercisedb.dev/w/images/iFeKp3f/41n2haNJ3NA8yCE2__Dumbbell-Incline-One-Arm-Hammer-Press_Upper-Arms.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2haNJ3NA8yCE2,exr_41n2haNJ3NA8yCE2
feet-and-ankles-stretch,Feet And Ankles Stretch,"[""bodyweight""]",CALVES,STRENGTH,,https://cdn.exercisedb.dev/w/images/W48O0ce/41n2havo95Y2QpkW__Feet-and-Ankles-Stretch-(female)_Calves.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2havo95Y2QpkW,exr_41n2havo95Y2QpkW
jump-squat,Jump Squat,"[""bodyweight""]","QUADRICEPS, THIGHS",STRENGTH,,https://cdn.exercisedb.dev/w/images/xJMWf8O/41n2hbdZww1thMKz__Jump-Squat-II_Thighs.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hbdZww1thMKz,exr_41n2hbdZww1thMKz
dumbbell-single-leg-calf-raise,Dumbbell Single Leg Calf Raise,"[""db""]",CALVES,STRENGTH,,https://cdn.exercisedb.dev/w/images/M7P04gJ/41n2hbLX4XH8xgN7__Dumbbell-Single-Leg-Calf-Raise_Calves.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hbLX4XH8xgN7,exr_41n2hbLX4XH8xgN7
peroneals-stretch,Peroneals Stretch,"[""bodyweight""]",CALVES,STRENGTH,,https://cdn.exercisedb.dev/w/images/1WKr2aI/41n2hbYPY4jLKxW3__Peroneals-Stretch-(female)_Calves.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hbYPY4jLKxW3,exr_41n2hbYPY4jLKxW3
lying-double-legs-biceps-curl-with-towel,Lying Double Legs Biceps Curl With Towel,"[""bodyweight""]","BICEPS, UPPER ARMS",STRENGTH,,https://cdn.exercisedb.dev/w/images/P6pOKh5/41n2hc2VrB8ofxrW__Lying-Double-Legs-Biceps-Curl-with-Towel_Upper-Arms.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hc2VrB8ofxrW,exr_41n2hc2VrB8ofxrW
seated-row-with-towel,Seated Row With Towel,"[""bodyweight""]",BACK,STRENGTH,,https://cdn.exercisedb.dev/w/images/XZdUjUY/41n2hcFJpBvAkXCP__Seated-Row-with-Towel_Back_720.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hcFJpBvAkXCP,exr_41n2hcFJpBvAkXCP
calf-raise-from-deficit-with-chair-supported,Calf Raise From Deficit With Chair Supported,"[""bodyweight""]",CALVES,STRENGTH,,https://cdn.exercisedb.dev/w/images/Z0kJQui/41n2hcm5HH6H684G__Calf-Raise-from-Deficit-with-Chair-Supported_Calves.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hcm5HH6H684G,exr_41n2hcm5HH6H684G
dumbbell-stiff-leg-deadlift,Dumbbell Stiff Leg Deadlift,"[""db""]",HIPS,STRENGTH,,https://cdn.exercisedb.dev/w/images/ep9ZHO7/41n2hcw2FN534HcA__Dumbbell-Stiff-Leg-Deadlift_Waist.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hcw2FN534HcA,exr_41n2hcw2FN534HcA
