slug,name,equipment,media_thumb,media_video,source_url,external_id
bear-walk,Bear Walk,"[""bodyweight""]",,,https://wger.de/en/exercise/57,57
axe-hold,Axe Hold,"[""db""]",,,https://wger.de/en/exercise/31,31
abdominal-stabilization,Abdominal Stabilization,"[""bodyweight""]",,,https://wger.de/en/exercise/56,56
empuje-de-tr-ceps-en-cable,Empuje de tríceps en cable,"[""bodyweight""]",,,https://wger.de/en/exercise/805,805
ad-m-atma,Adım atma,"[""bench""]",,,https://wger.de/en/exercise/981,981
dominadas-comando,Dominadas comando,"[""bodyweight""]",,,https://wger.de/en/exercise/980,980
kettlebell-swing-a-una-mano,Kettlebell swing a una mano,"[""kb""]",,,https://wger.de/en/exercise/1022,1022
fingerboard-20-mm-edge,Fingerboard 20 mm edge,"[""bodyweight""]",,,https://wger.de/en/exercise/820,820
aperturas-posteriores-en-polea,Aperturas Posteriores en Polea,"[""bodyweight""]",,,https://wger.de/en/exercise/822,822
alzate-posteriori,Alzate posteriori,"[""db""]",,,https://wger.de/en/exercise/828,828
flexiones-de-pino,Flexiones de Pino,"[""bodyweight""]",,,https://wger.de/en/exercise/907,907
carrera-en-zona-2,Carrera en Zona 2,"[""bodyweight""]",,,https://wger.de/en/exercise/908,908
lying-dumbbell-row-ss-seated-shrug,LYING DUMBBELL ROW SS SEATED SHRUG,"[""db""]",,,https://wger.de/en/exercise/923,923
croci-in-sospensione,Croci in sospensione,"[""bodyweight""]",,,https://wger.de/en/exercise/927,927
biceps-con-trx,Biceps con TRX,"[""bodyweight""]",,,https://wger.de/en/exercise/958,958
kettlebell-swing,Kettlebell Swing,"[""kb""]",,,https://wger.de/en/exercise/960,960
piques-de-50m-en-nataci-n,Piques de 50m en Natación,"[""bodyweight""]",,,https://wger.de/en/exercise/961,961
elliptical,Elliptical,"[""bodyweight""]",,,https://wger.de/en/exercise/962,962
curl-con-kettlebell-una-sola-mano,Curl con kettlebell una sola mano,"[""kb""]",,,https://wger.de/en/exercise/975,975
abdominales-en-v-con-bal-n-medicinal,Abdominales en V con Balón Medicinal,"[""bodyweight""]",,,https://wger.de/en/exercise/976,976
box-squat,Box Squat,"[""bodyweight""]",,,https://wger.de/en/exercise/977,977
addominali-alla-sbarra,Addominali alla sbarra,"[""bodyweight""]",,,https://wger.de/en/exercise/978,978
sloper-hanging,Sloper hanging,"[""bodyweight""]",,,https://wger.de/en/exercise/804,804
arnold-press,Arnold Press,"[""db""]",,,https://wger.de/en/exercise/20,20
barbell-hack-squats,Barbell Hack Squats,"[""barbell""]",,,https://wger.de/en/exercise/43,43
dumbbell-push-up,Dumbbell Push-Up,"[""db""]",,,https://wger.de/en/exercise/801,801
abduktoren-maschine,Abduktoren-Maschine,"[""bodyweight""]",,,https://wger.de/en/exercise/12,12
barbell-lunges-standing,Barbell Lunges Standing,"[""barbell""]",,,https://wger.de/en/exercise/46,46
barbell-lunges-walking,Barbell Lunges Walking,"[""barbell""]",,,https://wger.de/en/exercise/802,802
barbell-ab-rollout,Barbell Ab Rollout,"[""barbell""]",,,https://wger.de/en/exercise/41,41
barbell-triceps-extension,Barbell Triceps Extension,"[""barbell""]",,,https://wger.de/en/exercise/50,50
barbell-reverse-wrist-curl,Barbell Reverse Wrist Curl,"[""barbell"", ""bench""]",,,https://wger.de/en/exercise/48,48
corsa-sul-posto-con-ginocchia-alte,Corsa sul posto con ginocchia alte,"[""bodyweight""]",,,https://wger.de/en/exercise/983,983
affondi,Affondi,"[""bodyweight""]",,,https://wger.de/en/exercise/984,984
dominadas-en-tabla-de-multipresas,Dominadas en Tabla de Multipresas,"[""bodyweight""]",,,https://wger.de/en/exercise/821,821
draaiend-opdrukken,Draaiend opdrukken,"[""bodyweight""]",,,https://wger.de/en/exercise/985,985
bo-ni-podijeljeni-u-njevi-lijevo,Bočni podijeljeni čučnjevi lijevo,"[""bodyweight""]",,,https://wger.de/en/exercise/986,986
bo-ni-podijeljeni-u-njevi-desno,Bočni podijeljeni čučnjevi desno,"[""bodyweight""]",,,https://wger.de/en/exercise/987,987
affondo-bulgaro-con-manubri,Affondo bulgaro con manubri,"[""bodyweight""]",,,https://wger.de/en/exercise/988,988
bugarski-podijeljeni-u-anj-desno,Bugarski podijeljeni čučanj desno,"[""bodyweight""]",,,https://wger.de/en/exercise/989,989
coice,Coice,"[""bodyweight""]",,,https://wger.de/en/exercise/990,990
